,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
330,Haringey,Hookah Bar,African Restaurant,Café,Park,Indian Restaurant,Pub,Zoo Exhibit,Fast Food Restaurant,Filipino Restaurant,Field
331,Harrow,Martial Arts Dojo,Gym / Fitness Center,Supermarket,Chinese Restaurant,Soccer Field,Coffee Shop,Festival,Fast Food Restaurant,Farmers Market,Farm
332,Hatsudai,Coffee Shop,Convenience Store,Chinese Restaurant,Sake Bar,Ramen Restaurant,BBQ Joint,Shopping Mall,Concert Hall,Art Gallery,Indian Restaurant
333,Hausen,Supermarket,Grocery Store,Metro Station,Malay Restaurant,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Event Service
334,Havering,Pub,Café,Malay Restaurant,Caribbean Restaurant,Vegetarian / Vegan Restaurant,Ice Cream Shop,Rock Club,French Restaurant,Ramen Restaurant,Italian Restaurant
335,Henderson Hill,Convenience Store,Seafood Restaurant,Food Truck,Storage Facility,Food Court,Falafel Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market
336,Heng Fa Chuen,Cantonese Restaurant,Supermarket,Korean Restaurant,Noodle House,Taiwanese Restaurant,Thai Restaurant,Fast Food Restaurant,Bakery,Udon Restaurant,Hong Kong Restaurant
337,Heng On Estate,Chinese Restaurant,Fast Food Restaurant,Supermarket,Convenience Store,Market,Bus Station,Bus Stop,Financial or Legal Service,Filipino Restaurant,Field
338,Henry Farm,Park,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
339,Hepingli,Cantonese Restaurant,Café,Hotpot Restaurant,Bus Stop,Karaoke Bar,Fish Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field
340,Hibiya,Café,Japanese Restaurant,Theater,Hotel Bar,Vegetarian / Vegan Restaurant,German Restaurant,Steakhouse,Restaurant,Bakery,Hotel
341,"Higashi, Shibuya",Convenience Store,Chinese Restaurant,Supermarket,Sake Bar,Steakhouse,Ramen Restaurant,Italian Restaurant,Japanese Restaurant,Soba Restaurant,Coffee Shop
342,High  Bridge,Pharmacy,Market,Bus Station,Deli / Bodega,Supermarket,Chinese Restaurant,Pizza Place,Asian Restaurant,Fast Food Restaurant,Filipino Restaurant
343,High Park,Pub,Park,Mexican Restaurant,Gym / Fitness Center,Food Truck,Tennis Court,Deli / Bodega,Falafel Restaurant,Factory,Fish & Chips Shop
344,Highland Creek,Pharmacy,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
345,Highland Park,Tennis Court,Park,Gym / Fitness Center,Spanish Restaurant,Fish & Chips Shop,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
346,Hillcrest,Food Truck,Convenience Store,Ice Cream Shop,Donut Shop,Bus Station,Harbor / Marina,Dim Sum Restaurant,College Academic Building,Food Court,Pizza Place
347,Hillcrest Village,Tennis Court,Mediterranean Restaurant,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
348,Hillingdon,Park,Chinese Restaurant,Fast Food Restaurant,Pub,Zoo Exhibit,Filipino Restaurant,Field,Festival,Farmers Market,Farm
349,Hillview,Supermarket,Non-Profit,Bus Station,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant
350,Hin Keng Estate,Fast Food Restaurant,Asian Restaurant,Hong Kong Restaurant,Bus Station,Playground,Chinese Restaurant,Gym,Filipino Restaurant,Field,Festival
351,Hirslanden,Tram Station,Plaza,Pizza Place,Park,Farm,Field,Festival,Fast Food Restaurant,Farmers Market,Falafel Restaurant
352,Hirzenbach,Tram Station,Steakhouse,Italian Restaurant,Cycle Studio,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
353,"Hitotsubashi, Chiyoda",Japanese Restaurant,Café,Convenience Store,Coffee Shop,Italian Restaurant,Thai Restaurant,Indian Restaurant,Sushi Restaurant,Salad Place,Bar
354,Ho Man Tin,Asian Restaurant,Athletics & Sports,Fast Food Restaurant,Italian Restaurant,Pizza Place,Donburi Restaurant,Shopping Mall,Factory,Falafel Restaurant,Farm
355,Hochschulen,Tram Station,Spanish Restaurant,Hotel,Flea Market,Science Museum,Furniture / Home Store,Exhibit,Fabric Shop,Factory,Falafel Restaurant
356,Hoi Ha Wan,National Park,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
357,Holland Road,Vineyard,Bus Stop,Fast Food Restaurant,Fish Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
358,Hollis,Baseball Field,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
359,Homecrest,Chinese Restaurant,Bakery,Grocery Store,Mexican Restaurant,Vietnamese Restaurant,Fast Food Restaurant,Shipping Store,Bistro,Flower Shop,Pizza Place
360,Honjo,Home Service,Convenience Store,Shopping Mall,Coffee Shop,Field,Festival,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant
361,"Honmachi, Shibuya",Coffee Shop,Convenience Store,Chinese Restaurant,Ramen Restaurant,Concert Hall,Sake Bar,Café,Shopping Mall,Art Gallery,Theater
362,Hottingen,Swiss Restaurant,Italian Restaurant,Dessert Shop,Tram Station,History Museum,Coffee Shop,Hotel,Food & Drink Shop,Plaza,Food Stand
363,Hougang,Fast Food Restaurant,Dessert Shop,Chinese Restaurant,Cosmetics Shop,Café,Pharmacy,Metro Station,Coffee Shop,Fish & Chips Shop,Soup Place
364,Hounslow,Coffee Shop,Bus Stop,Fast Food Restaurant,Clothing Store,Video Game Store,Outlet Store,Optical Shop,Mobile Phone Shop,Bookstore,Sandwich Place
365,Howard Beach,Italian Restaurant,Bank,Chinese Restaurant,Bagel Shop,Cosmetics Shop,Bar,Seafood Restaurant,Ice Cream Shop,Fast Food Restaurant,Pet Store
366,Howland Hook,Boat or Ferry,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
367,Huayuan Road,Chinese Restaurant,Dumpling Restaurant,Zoo Exhibit,Fish Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
368,Hudson Yards,Coffee Shop,American Restaurant,Shipping Store,Pet Store,BBQ Joint,Bar,Park,Salad Place,Hotel,Art Gallery
369,Huguenot,Bank,Italian Restaurant,Ice Cream Shop,Deli / Bodega,Sandwich Place,Comfort Food Restaurant,Donut Shop,Bridal Shop,Lawyer,Asian Restaurant
370,Huilongguan,Coffee Shop,Fast Food Restaurant,Movie Theater,Bakery,Metro Station,Financial or Legal Service,Filipino Restaurant,Field,Festival,Zoo Exhibit
371,Hujialou,Japanese Restaurant,Metro Station,Theater,Coffee Shop,Factory,Falafel Restaurant,Farm,Fabric Shop,Event Service,Farmers Market
372,Humber Summit,Empanada Restaurant,Bakery,Zoo Exhibit,Fish Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
373,Humbergate,Coffee Shop,Smoothie Shop,Fish & Chips Shop,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
374,Humberlea,Baseball Field,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
375,Hung Hom,Coffee Shop,Train Station,Stadium,Cantonese Restaurant,Hong Kong Restaurant,Fast Food Restaurant,Hotel,Food Court,Bus Stop,Buffet
376,Hung Shing Yeh,Café,Beach,Hostel,Tea Room,BBQ Joint,Zoo Exhibit,Financial or Legal Service,Filipino Restaurant,Field,Festival
377,Hunters Point,Burger Joint,Deli / Bodega,Italian Restaurant,Gastropub,Park,Japanese Restaurant,American Restaurant,Wine Shop,Café,Ice Cream Shop
378,Hunts Point,Café,Pizza Place,Bank,Grocery Store,Zoo Exhibit,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
379,Huoying,Breakfast Spot,Hotel,Metro Station,Gym / Fitness Center,Zoo Exhibit,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market
380,Huájīng Zhèn,Fast Food Restaurant,Zoo Exhibit,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
381,Huìnán Zhèn,Metro Station,Coffee Shop,Fast Food Restaurant,Zoo Exhibit,Fish Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
382,Huāmù,Coffee Shop,Market,Pizza Place,Farm,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Zoo Exhibit
383,Héqìng Zhèn,Hotel,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
384,Hóngqiáo,Airport Service,Farmers Market,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Zoo Exhibit,Fishing Spot
385,Höchst,Café,Grocery Store,Zoo Exhibit,Fish Market,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
386,Höngg,Plaza,Tram Station,Grocery Store,Gas Station,Mexican Restaurant,Fast Food Restaurant,Pizza Place,Café,Discount Store,Supermarket
387,Hǎiwān Zhèn,Hotel,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
388,Ichigaya,Sake Bar,Convenience Store,Café,Ramen Restaurant,Soba Restaurant,BBQ Joint,Chinese Restaurant,Japanese Restaurant,Clothing Store,Fast Food Restaurant
389,Ikebukuro,Sake Bar,BBQ Joint,Sushi Restaurant,Yoshoku Restaurant,Chinese Restaurant,Theater,Café,Bar,Japanese Restaurant,Beer Bar
390,Imado,Convenience Store,Hobby Shop,Intersection,Candy Store,Gym / Fitness Center,Baseball Field,Athletics & Sports,Ramen Restaurant,Falafel Restaurant,Farm
391,India Bazaar,Indian Restaurant,Grocery Store,Burger Joint,Tibetan Restaurant,Pakistani Restaurant,Bar,Snack Place,Vegetarian / Vegan Restaurant,Art Gallery,Indian Chinese Restaurant
392,Innenstadt,Boutique,Coffee Shop,Plaza,Jazz Club,Coworking Space,Building,Steakhouse,Café,Scenic Lookout,Sandwich Place
393,International Business Park,Jazz Club,Food Court,Indian Restaurant,Café,American Restaurant,Factory,Falafel Restaurant,Farm,Farmers Market,Fish Market
394,Inwood,Bank,Wine Bar,Pizza Place,Bakery,Restaurant,American Restaurant,Diner,Café,Frozen Yogurt Shop,Sandwich Place
395,Ionview,Chinese Restaurant,Park,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
396,Islington,Thai Restaurant,Coffee Shop,Pub,Bakery,French Restaurant,Burger Joint,Gastropub,Mediterranean Restaurant,Theater,Café
397,Jackson Heights,Latin American Restaurant,South American Restaurant,Spanish Restaurant,Peruvian Restaurant,Grocery Store,Pharmacy,Asian Restaurant,Cajun / Creole Restaurant,Filipino Restaurant,Field
398,Jamaica Center,Mobile Phone Shop,Caribbean Restaurant,Clothing Store,Mexican Restaurant,Pizza Place,American Restaurant,Shoe Store,Coffee Shop,Bank,Sandwich Place
399,Jamaica Estates,Antique Shop,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market,Fishing Spot
400,Jamaica Hills,Fried Chicken Joint,Park,Halal Restaurant,Fast Food Restaurant,Sandwich Place,Indian Restaurant,Field,Festival,Farmers Market,Farm
401,Jardine's Lookout,Scenic Lookout,Fish Market,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
402,Jianguomen,Japanese Restaurant,Historic Site,Museum,Diner,Metro Station,Bus Station,Italian Restaurant,Factory,Falafel Restaurant,Fabric Shop
403,Jianwai,Asian Restaurant,Chinese Restaurant,Coffee Shop,Hotel,Zoo Exhibit,Fast Food Restaurant,Filipino Restaurant,Field,Festival,Farm
404,Jiaodaokou,Burger Joint,Theater,Chinese Restaurant,Music Venue,Pub,Festival,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field
405,Jinding Avenue,Restaurant,Frozen Yogurt Shop,Chinese Restaurant,Pizza Place,Zoo Exhibit,Farm,Field,Festival,Fast Food Restaurant,Farmers Market
406,Jingshan,Historic Site,Scenic Lookout,Beijing Restaurant,Park,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market,Zoo Exhibit
407,Jingūmae,Sporting Goods Shop,Italian Restaurant,Discount Store,Train Station,Café,Toy / Game Store,Dessert Shop,Mexican Restaurant,Coffee Shop,Gym
408,Jiuxianqiao,Cosmetics Shop,Coffee Shop,Chinese Restaurant,Bookstore,Grocery Store,Asian Restaurant,Bakery,Fast Food Restaurant,Food Court,Cocktail Bar
409,Jiāngchuān lù,Fast Food Restaurant,Zoo Exhibit,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
410,Jiāngsūlù,Asian Restaurant,Convenience Store,French Restaurant,Seafood Restaurant,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Zoo Exhibit
411,Jiāngwān Zhèn,Shopping Mall,Metro Station,Ice Cream Shop,Fast Food Restaurant,Hotpot Restaurant,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Festival
412,Jiǔlǐtíng,Hotel,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
413,Jiǔtíng Zhèn,Diner,Metro Station,Light Rail Station,Hotpot Restaurant,Fast Food Restaurant,Zoo Exhibit,Financial or Legal Service,Filipino Restaurant,Field,Festival
414,Joo Koon,Fast Food Restaurant,Bus Station,Coffee Shop,Sporting Goods Shop,Shopping Mall,Chinese Restaurant,Snack Place,Bakery,Hong Kong Restaurant,Thai Restaurant
415,Joo Seng,Furniture / Home Store,Clothing Store,Hobby Shop,Food Court,Zoo Exhibit,Farm,Filipino Restaurant,Field,Festival,Fast Food Restaurant
416,Jordan,Chinese Restaurant,Hotel,Seafood Restaurant,Dessert Shop,Noodle House,Korean Restaurant,Coffee Shop,Fast Food Restaurant,Café,Cantonese Restaurant
417,Jurong East,Café,Japanese Restaurant,Chinese Restaurant,Department Store,Shopping Mall,Multiplex,Supermarket,Coffee Shop,Clothing Store,Korean Restaurant
418,Jurong Port,Coffee Shop,Cafeteria,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
419,Jurong River,Asian Restaurant,Fast Food Restaurant,Jewelry Store,Performing Arts Venue,Café,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival
420,Jurong West Central,Japanese Restaurant,Asian Restaurant,Chinese Restaurant,Fast Food Restaurant,Coffee Shop,Café,Dessert Shop,Bookstore,Sushi Restaurant,Seafood Restaurant
421,Jīnqiáo Zhèn,Chinese Restaurant,Deli / Bodega,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farm
422,Jīnshānwèi Zhèn,Train Station,Fish Market,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
423,Kabukichō,Bar,Sake Bar,BBQ Joint,Ramen Restaurant,Japanese Restaurant,Yakitori Restaurant,Chinese Restaurant,Rock Club,Noodle House,Tonkatsu Restaurant
424,Kagurazaka,Convenience Store,Café,Japanese Restaurant,Dessert Shop,ATM,Coffee Shop,Bookstore,Bar,Sake Bar,Italian Restaurant
425,Kalbach-Riedberg,Dive Bar,Insurance Office,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farm
426,Kallang,Fast Food Restaurant,Zoo Exhibit,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
427,Kallang Bahru,Chinese Restaurant,Warehouse Store,Zoo Exhibit,Fast Food Restaurant,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market
428,Kam Tin,Dim Sum Restaurant,Supermarket,Market,Chinese Restaurant,Farm,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival
429,Kami-ikebukuro,Turkish Restaurant,Park,Betting Shop,Zoo Exhibit,Fish & Chips Shop,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
430,Kampong Bugis,Fast Food Restaurant,Japanese Restaurant,Dim Sum Restaurant,Cantonese Restaurant,Shopping Mall,Vegetarian / Vegan Restaurant,Korean Restaurant,Climbing Gym,Italian Restaurant,Dessert Shop
431,Kampong Glam,Cocktail Bar,Indonesian Restaurant,Italian Restaurant,Café,Hotel,Indian Restaurant,Asian Restaurant,Yoga Studio,Restaurant,Vietnamese Restaurant
432,Kampong Java,Massage Studio,Yoga Studio,Bus Station,Snack Place,Zoo Exhibit,Farmers Market,Financial or Legal Service,Filipino Restaurant,Field,Festival
433,Kampong Ubi,Asian Restaurant,Diner,Zoo Exhibit,Festival,Fish & Chips Shop,Financial or Legal Service,Filipino Restaurant,Field,Fast Food Restaurant,Fishing Spot
434,Kanda,Sake Bar,Ramen Restaurant,Soba Restaurant,Japanese Restaurant,BBQ Joint,Japanese Curry Restaurant,Grocery Store,Wine Bar,Bar,Chinese Restaurant
435,Kebun Baru,Food Court,Fast Food Restaurant,Bus Station,Chinese Restaurant,Soccer Field,Zoo Exhibit,Filipino Restaurant,Field,Festival,Farmers Market
436,Keelesdale,Coffee Shop,Restaurant,Discount Store,Sandwich Place,Farm,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market
437,Kennedy Park,Chinese Restaurant,Fast Food Restaurant,Asian Restaurant,Grocery Store,Zoo Exhibit,Fish & Chips Shop,Exhibit,Fabric Shop,Factory,Falafel Restaurant
438,Kennedy Town,Japanese Restaurant,Vietnamese Restaurant,Coffee Shop,Café,Cha Chaan Teng,Chinese Restaurant,Market,Hong Kong Restaurant,Dumpling Restaurant,Bakery
439,Kensington,Pizza Place,Liquor Store,Bagel Shop,Bakery,Thai Restaurant,Pharmacy,Donut Shop,Ice Cream Shop,Mexican Restaurant,Grocery Store
440,Kensington Market,Café,Bar,Mexican Restaurant,Bakery,Vegetarian / Vegan Restaurant,Coffee Shop,Donut Shop,Burger Joint,Comfort Food Restaurant,Caribbean Restaurant
441,Kensington and Chelsea,Café,Pub,Italian Restaurant,Coffee Shop,Cupcake Shop,Supermarket,Gym / Fitness Center,Mediterranean Restaurant,Thai Restaurant,Middle Eastern Restaurant
442,Kent Ridge,Coffee Shop,Frozen Yogurt Shop,Kebab Restaurant,Bus Station,Snack Place,Pharmacy,Hong Kong Restaurant,Sandwich Place,Medical Center,Vietnamese Restaurant
443,Kew Gardens,Bar,New American Restaurant,Deli / Bodega,Bus Stop,Chinese Restaurant,Cosmetics Shop,South American Restaurant,Indian Restaurant,Farmers Market,Filipino Restaurant
444,Kew Gardens Hills,Bank,Restaurant,Bus Station,Pizza Place,Middle Eastern Restaurant,Zoo Exhibit,Fast Food Restaurant,Filipino Restaurant,Field,Festival
445,Kian Teck,Bus Line,Zoo Exhibit,Fishing Spot,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
446,Kichijōji,Café,Japanese Restaurant,Ramen Restaurant,Sake Bar,Steakhouse,Italian Restaurant,Pizza Place,Record Shop,Frozen Yogurt Shop,Deli / Bodega
447,King,Hotel,Café,Italian Restaurant,Coffee Shop,Restaurant,Gym,Cocktail Bar,Bakery,Park,Breakfast Spot
448,King and Spadina,Italian Restaurant,Coffee Shop,Dessert Shop,Restaurant,Latin American Restaurant,Hotel,Thai Restaurant,Beer Bar,Board Shop,Liquor Store
449,King's Mill Park,Park,American Restaurant,Spa,Zoo Exhibit,Financial or Legal Service,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market
450,King's Park,Coffee Shop,Restaurant,Hotel,Playground,Fast Food Restaurant,Farm,Field,Festival,Farmers Market,Zoo Exhibit
451,Kingsbridge,Latin American Restaurant,Supermarket,Sports Bar,Thrift / Vintage Store,Shipping Store,Gourmet Shop,Spanish Restaurant,Mattress Store,Breakfast Spot,Discount Store
452,Kingsbridge Heights,Pizza Place,Latin American Restaurant,Bus Station,Bus Stop,Fried Chicken Joint,Intersection,Coffee Shop,Mexican Restaurant,Fast Food Restaurant,Filipino Restaurant
453,Kingston upon Thames,Coffee Shop,Pub,Clothing Store,Italian Restaurant,Café,Bookstore,Bakery,Sushi Restaurant,Burger Joint,Department Store
454,Kingsview Village,Park,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
455,Kiu Tsui Chau,Beach,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
456,Kornhill,Sushi Restaurant,Japanese Restaurant,Gym / Fitness Center,Department Store,Bus Stop,Clothing Store,Café,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant
457,Kovan,Asian Restaurant,Noodle House,Food Court,Café,Snack Place,Chinese Restaurant,Sandwich Place,Fast Food Restaurant,Korean Restaurant,Supermarket
458,Kowloon Bay,Coffee Shop,Shanghai Restaurant,Shopping Mall,Sushi Restaurant,Supermarket,Vietnamese Restaurant,Department Store,Dessert Shop,Electronics Store,Chinese Restaurant
459,Kowloon City,Thai Restaurant,Dessert Shop,Coffee Shop,Cantonese Restaurant,Noodle House,Hotpot Restaurant,Restaurant,Pastry Shop,Chinese Restaurant,Vietnamese Restaurant
460,Kowloon Peak,Scenic Lookout,Fish Market,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
461,Kowloon Tong,Bistro,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Festival
462,Kowloon Tsai,Pool,Tennis Court,Garden,Park,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farm
463,Kranji,Bus Line,Noodle House,Racetrack,Dessert Shop,Lighthouse,Bakery,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant
464,Kwai Chung,Steakhouse,Zoo Exhibit,Fish Market,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market
465,Kwai Fong Estate,Noodle House,Fast Food Restaurant,Gym / Fitness Center,Shopping Mall,Athletics & Sports,Chinese Restaurant,Asian Restaurant,Ramen Restaurant,Dance Studio,Snack Place
466,Kwai Hing Estate,Chinese Restaurant,Hotel,Coffee Shop,Dumpling Restaurant,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Festival,Fast Food Restaurant
467,Kwun Chung,Dessert Shop,Chinese Restaurant,Seafood Restaurant,Café,Fast Food Restaurant,Korean Restaurant,Hotel,Noodle House,Coffee Shop,Shanghai Restaurant
468,Kwun Tong,Coffee Shop,Chinese Restaurant,Sushi Restaurant,Café,Restaurant,Fast Food Restaurant,Building,BBQ Joint,Dumpling Restaurant,Electronics Store
469,Kyōbashi,Japanese Restaurant,Yakitori Restaurant,Soba Restaurant,South Indian Restaurant,Ramen Restaurant,Italian Restaurant,Japanese Curry Restaurant,Hotel,French Restaurant,Pub
470,Kōjimachi,Japanese Restaurant,Convenience Store,Indian Restaurant,Café,Coffee Shop,Sake Bar,Ramen Restaurant,Chinese Restaurant,Seafood Restaurant,Korean Restaurant
471,L'Amoreaux East,Chinese Restaurant,BBQ Joint,Shopping Mall,Indian Restaurant,Zoo Exhibit,Filipino Restaurant,Field,Festival,Fast Food Restaurant,Farmers Market
472,LOHAS Park,Bus Station,Platform,Metro Station,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farm
473,Lai Chi Kok,Sandwich Place,Cha Chaan Teng,Shopping Mall,Chinese Restaurant,Cantonese Restaurant,Noodle House,Bookstore,Australian Restaurant,Café,Japanese Restaurant
474,Lai King,Chinese Restaurant,Athletics & Sports,Cha Chaan Teng,Platform,Restaurant,Metro Station,Convenience Store,Fast Food Restaurant,Filipino Restaurant,Field
475,Lam Tin,Supermarket,Shopping Mall,Fast Food Restaurant,Chinese Restaurant,Sushi Restaurant,Market,Fish Market,Cycle Studio,Exhibit,Fabric Shop
476,Lambeth,Japanese Restaurant,Hotel,Coffee Shop,Café,Sandwich Place,History Museum,Restaurant,Fish & Chips Shop,Tea Room,Skate Park
477,Langstrasse,Bar,Thai Restaurant,Italian Restaurant,Restaurant,Café,Chinese Restaurant,Middle Eastern Restaurant,Bakery,Vegetarian / Vegan Restaurant,Nightclub
478,Laoshan,Hotel,Zoo Exhibit,Fish & Chips Shop,Event Service,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm
479,Lau Fau Shan,Seafood Restaurant,Dim Sum Restaurant,Zoo Exhibit,Fast Food Restaurant,Financial or Legal Service,Filipino Restaurant,Field,Festival,Farmers Market,Fish Market
480,Laurelton,Caribbean Restaurant,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
481,Lavender,Coffee Shop,Fast Food Restaurant,Bed & Breakfast,Asian Restaurant,Supermarket,Sandwich Place,Steakhouse,Food Court,Bistro,Thai Restaurant
482,Lawrence Heights,Clothing Store,Jewelry Store,Leather Goods Store,Electronics Store,Women's Store,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Festival
483,Lawrence Manor,Park,Zoo Exhibit,Event Service,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
484,Lawrence Park,Bakery,Italian Restaurant,Ice Cream Shop,Sushi Restaurant,Coffee Shop,BBQ Joint,Tea Room,Bubble Tea Shop,Sandwich Place,Asian Restaurant
485,Leaside,Chocolate Shop,Tennis Court,Chinese Restaurant,Park,Zoo Exhibit,Farmers Market,Filipino Restaurant,Field,Festival,Fast Food Restaurant
486,Lefrak City,Deli / Bodega,Pizza Place,Diner,Fried Chicken Joint,Pool,Grocery Store,Dry Cleaner,Coffee Shop,Fast Food Restaurant,Field
487,Leimbach,Zoo Exhibit,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
488,Lenox Hill,Salon / Barbershop,Coffee Shop,Burger Joint,Bridal Shop,Toy / Game Store,Liquor Store,Gym,Big Box Store,Thai Restaurant,Gourmet Shop
489,Lewisham,Clothing Store,Coffee Shop,Fast Food Restaurant,Restaurant,Mobile Phone Shop,Bakery,Shoe Store,Market,Gym,Grocery Store
490,Lighthouse Hill,Art Museum,Zoo Exhibit,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant
491,Lim Chu Kang,Farm,Zoo Exhibit,Ethiopian Restaurant,Event Space,Exhibit,Fabric Shop,Factory,Falafel Restaurant,Farmers Market,Fast Food Restaurant
492,Lincoln Square,Theater,Indie Movie Theater,Performing Arts Venue,Concert Hall,Park,Opera House,American Restaurant,Plaza,Café,Gym / Fitness Center
493,Lindenhof,Swiss Restaurant,Restaurant,Department Store,French Restaurant,Hotel,Pedestrian Plaza,Lounge,Cocktail Bar,Café,Bar
